epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.3715,2.66031,3.38048,2.27556,0.00702,0.56338,0.0338,0.01578,2.55407,3.35774,2.11594,4e-05,4e-05,4e-05
2,16.9112,2.53121,3.17795,2.20039,0.01088,0.87324,0.20341,0.05671,2.16155,3.14114,1.77366,9.802e-05,9.802e-05,9.802e-05
3,26.4503,2.03729,3.01093,1.88376,0.01228,0.98592,0.37516,0.12322,1.87593,3.02225,1.59718,0.000153664,0.000153664,0.000153664
4,37.1143,1.86605,2.64054,1.68026,0.01246,1,0.53365,0.18201,1.73768,2.95037,1.53725,0.000206932,0.000206932,0.000206932
5,47.4849,1.82035,2.38374,1.58876,0.01246,1,0.57432,0.20543,1.73356,2.86051,1.51532,0.000257824,0.000257824,0.000257824
6,57.4583,1.8378,2.04157,1.54086,0.80949,0.47877,0.68057,0.25021,1.85871,2.70265,1.53704,0.00030634,0.00030634,0.00030634
7,67.0666,1.67826,1.66602,1.43661,0.82658,0.13457,0.72384,0.29558,1.91939,2.64002,1.56952,0.00035248,0.00035248,0.00035248
8,76.5788,1.78359,1.66514,1.45313,0.88633,0.21983,0.771,0.30514,1.90557,2.58309,1.63561,0.000396244,0.000396244,0.000396244
9,86.3243,1.68021,1.67471,1.43749,0.72674,0.67425,0.76096,0.30734,1.92482,2.4902,1.66939,0.000437632,0.000437632,0.000437632
10,96.1686,1.59937,1.60802,1.34222,0.62627,0.76056,0.76755,0.3484,1.78955,2.40804,1.59146,0.000476644,0.000476644,0.000476644
11,106.184,1.60858,1.59129,1.4265,0.71377,0.71831,0.77325,0.34862,1.75371,2.37654,1.55094,0.00051328,0.00051328,0.00051328
12,116.477,1.58513,1.56622,1.33296,0.81776,0.70423,0.81602,0.38825,1.73369,2.3148,1.49329,0.00054754,0.00054754,0.00054754
13,126.812,1.61965,1.4494,1.33143,0.91217,0.15493,0.81954,0.43864,1.63344,2.25764,1.38471,0.000579424,0.000579424,0.000579424
14,137.209,1.50413,1.48446,1.31747,0.95606,0.30658,0.84517,0.46207,1.53293,2.16567,1.37959,0.000608932,0.000608932,0.000608932
15,146.613,1.46749,1.39538,1.3287,0.95606,0.30658,0.84517,0.46207,1.53293,2.16567,1.37959,0.000636064,0.000636064,0.000636064
16,156.554,1.46266,1.272,1.26735,0.94734,0.50679,0.88539,0.50922,1.5073,2.05684,1.39125,0.00066082,0.00066082,0.00066082
17,166.376,1.52084,1.26543,1.3359,0.9547,0.59364,0.89396,0.52257,1.56625,2.00259,1.36352,0.0006832,0.0006832,0.0006832
18,176.227,1.55932,1.33456,1.34473,0.9547,0.59364,0.89396,0.52257,1.56625,2.00259,1.36352,0.000703204,0.000703204,0.000703204
19,185.916,1.5303,1.47129,1.33629,0.98091,0.72377,0.90474,0.50342,1.59656,1.95312,1.40919,0.000720832,0.000720832,0.000720832
20,195.329,1.61729,1.32645,1.42442,0.97966,0.67837,0.88781,0.4936,1.60535,1.98981,1.37953,0.000736084,0.000736084,0.000736084
21,205.198,1.61725,1.4043,1.49171,0.97966,0.67837,0.88781,0.4936,1.60535,1.98981,1.37953,0.00074896,0.00074896,0.00074896
22,215.433,1.46679,1.21672,1.2599,0.98096,0.72573,0.89852,0.49742,1.52412,1.95559,1.33094,0.00075946,0.00075946,0.00075946
23,224.953,1.52013,1.14641,1.33973,0.98096,0.72573,0.89852,0.49742,1.52412,1.95559,1.33094,0.000767584,0.000767584,0.000767584
24,234.632,1.51479,1.22866,1.32066,0.96306,0.73438,0.90363,0.53169,1.47628,1.85324,1.29429,0.000773332,0.000773332,0.000773332
25,244.85,1.52691,1.28988,1.32788,0.96306,0.73438,0.90363,0.53169,1.47628,1.85324,1.29429,0.000776704,0.000776704,0.000776704
26,255.117,1.39323,1.21467,1.20895,0.83647,0.70423,0.86453,0.49265,1.47199,1.7381,1.29553,0.0007777,0.0007777,0.0007777
27,264.791,1.37329,1.18591,1.2366,0.83647,0.70423,0.86453,0.49265,1.47199,1.7381,1.29553,0.00077632,0.00077632,0.00077632
28,274.691,1.41754,1.17951,1.21861,0.79256,0.80721,0.88794,0.51803,1.37464,1.50092,1.25097,0.000772564,0.000772564,0.000772564
29,285.314,1.35191,1.24339,1.21078,0.79256,0.80721,0.88794,0.51803,1.37464,1.50092,1.25097,0.000766432,0.000766432,0.000766432
30,296.34,1.47559,1.14994,1.25856,0.79256,0.80721,0.88794,0.51803,1.37464,1.50092,1.25097,0.000757924,0.000757924,0.000757924
31,306.705,1.31704,1.13215,1.19674,0.88734,0.88746,0.95007,0.58699,1.31383,1.28297,1.20211,0.00074704,0.00074704,0.00074704
32,317.036,1.27681,1.12028,1.15329,0.88734,0.88746,0.95007,0.58699,1.31383,1.28297,1.20211,0.00073378,0.00073378,0.00073378
33,328.863,1.53813,1.22702,1.30132,0.89309,0.9413,0.96735,0.56242,1.38768,1.24044,1.18743,0.000718144,0.000718144,0.000718144
34,338.873,1.37078,1.0731,1.17713,0.89309,0.9413,0.96735,0.56242,1.38768,1.24044,1.18743,0.0006932,0.0006932,0.0006932
35,349.232,1.31879,1.14038,1.17356,0.89309,0.9413,0.96735,0.56242,1.38768,1.24044,1.18743,0.0006536,0.0006536,0.0006536
36,359.723,1.36273,1.21777,1.27002,0.94807,0.95775,0.98753,0.57976,1.41247,1.16067,1.18885,0.000614,0.000614,0.000614
37,369.696,1.38658,1.05674,1.17356,0.94807,0.95775,0.98753,0.57976,1.41247,1.16067,1.18885,0.0005744,0.0005744,0.0005744
38,379.008,1.3103,0.98616,1.1551,0.94807,0.95775,0.98753,0.57976,1.41247,1.16067,1.18885,0.0005348,0.0005348,0.0005348
39,388.563,1.1834,1.0089,1.0941,0.97189,0.97406,0.9926,0.64212,1.30866,1.10119,1.14551,0.0004952,0.0004952,0.0004952
40,397.799,1.25926,1.03676,1.16476,0.97189,0.97406,0.9926,0.64212,1.30866,1.10119,1.14551,0.0004556,0.0004556,0.0004556
41,408.268,1.36406,1.36532,1.211,0.98514,1,0.99389,0.63945,1.20675,1.07331,1.10781,0.000416,0.000416,0.000416
42,417.425,1.31039,1.41838,1.14122,0.98514,1,0.99389,0.63945,1.20675,1.07331,1.10781,0.0003764,0.0003764,0.0003764
43,426.397,1.1123,1.34713,1.1131,0.98514,1,0.99389,0.63945,1.20675,1.07331,1.10781,0.0003368,0.0003368,0.0003368
44,435.518,1.21825,1.34827,1.19218,0.95939,0.99829,0.9929,0.64733,1.1821,1.05839,1.11689,0.0002972,0.0002972,0.0002972
45,445.36,1.21698,1.2734,1.19923,0.95939,0.99829,0.9929,0.64733,1.1821,1.05839,1.11689,0.0002576,0.0002576,0.0002576
46,455.128,1.17321,1.30028,1.10353,0.95939,0.99829,0.9929,0.64733,1.1821,1.05839,1.11689,0.000218,0.000218,0.000218
47,465.379,1.13998,1.26882,1.09238,0.96009,0.98592,0.99278,0.66392,1.12209,1.0576,1.10744,0.0001784,0.0001784,0.0001784
48,475.614,1.12563,1.12281,1.06773,0.96009,0.98592,0.99278,0.66392,1.12209,1.0576,1.10744,0.0001388,0.0001388,0.0001388
49,485.703,1.07966,1.15379,1.11176,0.95845,1,0.99252,0.68133,1.05928,1.05247,1.08748,9.92e-05,9.92e-05,9.92e-05
50,495.249,1.12703,1.25122,1.18801,0.95845,1,0.99252,0.68133,1.05928,1.05247,1.08748,5.96e-05,5.96e-05,5.96e-05
